feature,importance
per_prfsnl,0.23048402
grade_living_interaction,0.20160575
per_bchlr,0.15599722
grade,0.09870372
hous_val_amt,0.05166802
lat,0.048882168
waterfront,0.025708996
view,0.021624213
edctn_some_clg_qty,0.011165041
sqft_living,0.010500872
sqft_living15,0.005816818
long,0.0057507223
condition,0.0057404656
medn_incm_per_prsn_amt,0.0055800737
edctn_9_12_qty,0.0055785617
sale_year,0.005506047
edctn_high_schl_qty,0.0052985665
per_farm,0.004896658
house_age,0.0047222576
was_renovated,0.0046141883
edctn_prfsnl_qty,0.004392148
edctn_assoc_dgre_qty,0.0043333666
zipcode,0.0040984643
non_farm_qty,0.003852352
sqft_lot_log1p,0.0036433612
per_9_to_12,0.0035321582
sqft_above,0.003441018
per_urbn,0.003332442
yr_renovated,0.0030386397
per_non_farm,0.002901042
bathrooms,0.0028696281
urbn_ppltn_qty,0.0027912443
edctn_bchlr_dgre_qty,0.0027622795
years_since_renovation,0.0027077617
yr_built,0.0025961187
sqft_lot15_log1p,0.0025309767
renovation_reference_year,0.0025212644
per_hsd,0.00239497
living_to_lot_ratio,0.0023817266
medn_hshld_incm_amt,0.0023600082
per_less_than_9,0.002227969
edctn_less_than_9_qty,0.0021858274
ppltn_qty,0.0021081564
farm_ppltn_qty,0.0020847167
bathrooms_per_bedroom,0.0019099644
per_sbrbn,0.001803731
total_rooms,0.0017609199
per_some_clg,0.0017210711
sqft_basement,0.0017060258
sale_month,0.0014929143
living_to_neighbor_ratio,0.0014601379
sale_quarter,0.0014185607
floors,0.0013000723
per_assoc,0.0012683864
sbrbn_ppltn_qty,0.0012658997
bedrooms,0.0010025763
basement_flag,0.00095775974
